disk- -------------------reads------------------- -------------------writes------------------ ------IO------- -----timestamp-----
          total    merged     sectors          ms     total    merged     sectors          ms     cur     sec                 CST
nvme7n1    122258         0    15857809       85210  31696812         0   791625505    17780040       0   15483 2025-11-13 16:30:27
nvme6n1    118621         0    15716083       78536  30921264         0   791625505    31748393       0   21407 2025-11-13 16:30:27
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 16:30:32
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 16:30:32
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 16:30:32
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 16:30:32
nvme0n1       649         0       67548         803    322530         0    44792118      237381       0     158 2025-11-13 16:30:32
nvme1n1       718         0       76509         364    334190         0    44792118      105927       0      80 2025-11-13 16:30:32
nvme2n1      1456         0      266349         278    744489         0   126396196       72478       0      53 2025-11-13 16:30:32
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 16:30:32
nvme4n1    787225    195320   116514799      205021  13759748   5855436   343432292    12894947       0    4229 2025-11-13 16:30:32
nvme3n1      1483         0      273743         406    733107         0   126396196       90820       0      56 2025-11-13 16:30:32
nvme9n1    132699         0    16476902       81402  24334723         0   638135625    11912471       0   10498 2025-11-13 16:30:32
nvme8n1    129702         0    16069306      116609  24175988         0   638135625    14350312       0   12138 2025-11-13 16:30:32
nvme7n1    122258         0    15857809       85210  31696812         0   791625505    17780040       0   15483 2025-11-13 16:30:32
nvme6n1    118621         0    15716083       78536  30921264         0   791625505    31748393       0   21407 2025-11-13 16:30:32
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 16:30:37
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 16:30:37
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 16:30:37
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 16:30:37
nvme0n1       649         0       67548         803    322579         0    44792441      237494       0     158 2025-11-13 16:30:37
nvme1n1       718         0       76509         364    334240         0    44792441      105946       0      80 2025-11-13 16:30:37
nvme2n1      1456         0      266349         278    744559         0   126396871       72493       0      53 2025-11-13 16:30:37
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 16:30:37
nvme4n1    787225    195320   116514799      205021  13759748   5855436   343432292    12894947       0    4229 2025-11-13 16:30:37
nvme3n1      1483         0      273743         406    733180         0   126396871       90856       0      56 2025-11-13 16:30:37
nvme9n1    132699         0    16476902       81402  24334723         0   638135625    11912471       0   10498 2025-11-13 16:30:37
nvme8n1    129702         0    16069306      116609  24175988         0   638135625    14350312       0   12138 2025-11-13 16:30:37
nvme7n1    122258         0    15857809       85210  31696812         0   791625505    17780040       0   15483 2025-11-13 16:30:37
nvme6n1    118621         0    15716083       78536  30921264         0   791625505    31748393       0   21407 2025-11-13 16:30:37
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 16:30:42
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 16:30:42
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 16:30:42
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 16:30:42
nvme0n1       649         0       67548         803    322631         0    44792804      237607       0     158 2025-11-13 16:30:42
nvme1n1       718         0       76509         364    334292         0    44792804      105965       0      80 2025-11-13 16:30:42
nvme2n1      1456         0      266349         278    744632         0   126397629       72508       0      53 2025-11-13 16:30:42
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 16:30:42
nvme4n1    787225    195320   116514799      205021  13759801   5855438   343432836    12895013       0    4229 2025-11-13 16:30:42
nvme3n1      1483         0      273743         406    733252         0   126397629       90892       0      56 2025-11-13 16:30:42
nvme9n1    132699         0    16476902       81402  24334788         0   638136121    11912485       0   10498 2025-11-13 16:30:42
nvme8n1    129702         0    16069306      116609  24176051         0   638136121    14350407       0   12138 2025-11-13 16:30:42
nvme7n1    122258         0    15857809       85210  31696933         0   791626424    17780052       0   15483 2025-11-13 16:30:42
nvme6n1    118621         0    15716083       78536  30921384         0   791626424    31748407       0   21407 2025-11-13 16:30:42
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 16:30:47
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 16:30:47
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 16:30:47
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 16:30:47
nvme0n1       649         0       67548         803    322685         0    44793133      237719       0     158 2025-11-13 16:30:47
nvme1n1       718         0       76509         364    334346         0    44793133      105985       0      80 2025-11-13 16:30:47
nvme2n1      1456         0      266349         278    744717         0   126398317       72524       0      53 2025-11-13 16:30:47
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 16:30:47
nvme4n1    787225    195320   116514799      205021  13759803   5855442   343432884    12895023       0    4229 2025-11-13 16:30:47
nvme3n1      1483         0      273743         406    733335         0   126398317       90928       0      56 2025-11-13 16:30:47
nvme9n1    132699         0    16476902       81402  24334879         0   638136893    11912499       0   10498 2025-11-13 16:30:47
nvme8n1    129702         0    16069306      116609  24176137         0   638136893    14350509       0   12138 2025-11-13 16:30:47
nvme7n1    122258         0    15857809       85210  31697064         0   791627818    17780066       0   15483 2025-11-13 16:30:47
nvme6n1    118621         0    15716083       78536  30921523         0   791627818    31748420       0   21407 2025-11-13 16:30:47
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 16:30:52
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 16:30:52
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 16:30:52
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 16:30:52
nvme0n1       649         0       67548         803    322734         0    44793587      237832       0     158 2025-11-13 16:30:52
nvme1n1       718         0       76509         364    334399         0    44793587      106003       0      80 2025-11-13 16:30:52
nvme2n1      1456         0      266349         278    744798         0   126399258       72540       0      53 2025-11-13 16:30:52
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 16:30:52
nvme4n1    787225    195320   116514799      205021  13759842   5855446   343433228    12895148       0    4229 2025-11-13 16:30:52
nvme3n1      1483         0      273743         406    733416         0   126399258       90964       0      56 2025-11-13 16:30:52
nvme9n1    132699         0    16476902       81402  24334879         0   638136893    11912499       0   10498 2025-11-13 16:30:52
nvme8n1    129702         0    16069306      116609  24176137         0   638136893    14350509       0   12138 2025-11-13 16:30:52
nvme7n1    122258         0    15857809       85210  31697064         0   791627818    17780066       0   15483 2025-11-13 16:30:52
nvme6n1    118621         0    15716083       78536  30921523         0   791627818    31748420       0   21407 2025-11-13 16:30:52
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 16:30:57
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 16:30:57
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 16:30:57
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 16:30:57
nvme0n1       649         0       67548         803    322787         0    44793947      237944       0     158 2025-11-13 16:30:57
nvme1n1       718         0       76509         364    334452         0    44793947      106022       0      80 2025-11-13 16:30:57
nvme2n1      1456         0      266349         278    744877         0   126400009       72555       0      53 2025-11-13 16:30:57
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 16:30:57
nvme4n1    787225    195320   116514799      205021  13759845   5855447   343433268    12895165       0    4229 2025-11-13 16:30:57
nvme3n1      1483         0      273743         406    733498         0   126400009       90999       0      56 2025-11-13 16:30:57
nvme9n1    132699         0    16476902       81402  24334955         0   638137726    11912513       0   10498 2025-11-13 16:30:57
nvme8n1    129702         0    16069306      116609  24176209         0   638137726    14350611       0   12138 2025-11-13 16:30:57
nvme7n1    122258         0    15857809       85210  31697178         0   791629129    17780078       0   15483 2025-11-13 16:30:57
nvme6n1    118621         0    15716083       78536  30921639         0   791629129    31748433       0   21407 2025-11-13 16:30:57
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 16:31:02
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 16:31:02
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 16:31:02
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 16:31:02
nvme0n1       649         0       67548         803    322842         0    44794284      238058       0     158 2025-11-13 16:31:02
nvme1n1       718         0       76509         364    334500         0    44794284      106041       0      80 2025-11-13 16:31:02
nvme2n1      1456         0      266349         278    744949         0   126400715       72570       0      53 2025-11-13 16:31:02
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 16:31:02
nvme4n1    787225    195320   116514799      205021  13759847   5855457   343433364    12895176       0    4229 2025-11-13 16:31:02
nvme3n1      1483         0      273743         406    733572         0   126400715       91035       0      56 2025-11-13 16:31:02
nvme9n1    132699         0    16476902       81402  24334955         0   638137726    11912513       0   10498 2025-11-13 16:31:02
nvme8n1    129702         0    16069306      116609  24176209         0   638137726    14350611       0   12138 2025-11-13 16:31:02
nvme7n1    122258         0    15857809       85210  31697178         0   791629129    17780078       0   15483 2025-11-13 16:31:02
nvme6n1    118621         0    15716083       78536  30921639         0   791629129    31748433       0   21407 2025-11-13 16:31:02
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 16:31:07
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 16:31:07
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 16:31:07
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 16:31:07
nvme0n1       649         0       67548         803    322894         0    44794622      238171       0     158 2025-11-13 16:31:07
nvme1n1       718         0       76509         364    334548         0    44794622      106060       0      80 2025-11-13 16:31:07
nvme2n1      1456         0      266349         278    745022         0   126401426       72586       0      53 2025-11-13 16:31:07
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 16:31:07
nvme4n1    787225    195320   116514799      205021  13759849   5855460   343433404    12895186       0    4229 2025-11-13 16:31:07
nvme3n1      1483         0      273743         406    733648         0   126401426       91071       0      56 2025-11-13 16:31:07
nvme9n1    132699         0    16476902       81402  24334955         0   638137726    11912513       0   10498 2025-11-13 16:31:07
nvme8n1    129702         0    16069306      116609  24176209         0   638137726    14350611       0   12138 2025-11-13 16:31:07
nvme7n1    122258         0    15857809       85210  31697178         0   791629129    17780078       0   15483 2025-11-13 16:31:07
nvme6n1    118621         0    15716083       78536  30921639         0   791629129    31748433       0   21407 2025-11-13 16:31:07
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 16:31:12
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 16:31:12
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 16:31:12
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 16:31:12
nvme0n1       649         0       67548         803    322945         0    44795006      238283       0     158 2025-11-13 16:31:12
nvme1n1       718         0       76509         364    334599         0    44795006      106078       0      80 2025-11-13 16:31:12
nvme2n1      1456         0      266349         278    745098         0   126402229       72601       0      53 2025-11-13 16:31:12
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 16:31:12
nvme4n1    787225    195320   116514799      205021  13760283   5855646   343442516    12895389       0    4229 2025-11-13 16:31:12
nvme3n1      1483         0      273743         406    733727         0   126402229       91107       0      56 2025-11-13 16:31:12
nvme9n1    132699         0    16476902       81402  24335047         0   638138531    11912526       0   10498 2025-11-13 16:31:12
nvme8n1    129702         0    16069306      116609  24176301         0   638138531    14350624       0   12138 2025-11-13 16:31:12
nvme7n1    122258         0    15857809       85210  31697320         0   791630491    17780092       0   15483 2025-11-13 16:31:12
nvme6n1    118621         0    15716083       78536  30921777         0   791630491    31748447       0   21407 2025-11-13 16:31:12
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 16:31:17
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 16:31:17
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 16:31:17
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 16:31:17
nvme0n1       649         0       67548         803    322997         0    44795315      238396       0     158 2025-11-13 16:31:17
nvme1n1       718         0       76509         364    334651         0    44795315      106097       0      80 2025-11-13 16:31:17
nvme2n1      1456         0      266349         278    745174         0   126402880       72617       0      53 2025-11-13 16:31:17
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 16:31:17
nvme4n1    787225    195320   116514799      205021  13760285   5855664   343442676    12895399       0    4229 2025-11-13 16:31:17
nvme3n1      1483         0      273743         406    733804         0   126402880       91144       0      56 2025-11-13 16:31:17
nvme9n1    132699         0    16476902       81402  24335047         0   638138531    11912526       0   10498 2025-11-13 16:31:17
nvme8n1    129702         0    16069306      116609  24176301         0   638138531    14350624       0   12138 2025-11-13 16:31:17
nvme7n1    122258         0    15857809       85210  31697320         0   791630491    17780092       0   15483 2025-11-13 16:31:17
nvme6n1    118621         0    15716083       78536  30921777         0   791630491    31748447       0   21407 2025-11-13 16:31:17
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 16:31:22
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 16:31:22
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 16:31:22
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 16:31:22
nvme0n1       649         0       67548         803    323046         0    44795663      238508       0     158 2025-11-13 16:31:22
nvme1n1       718         0       76509         364    334704         0    44795663      106116       0      80 2025-11-13 16:31:22
nvme2n1      1456         0      266349         278    745248         0   126403611       72632       0      53 2025-11-13 16:31:22
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 16:31:22
nvme4n1    787225    195320   116514799      205021  13760287   5855666   343442708    12895409       0    4229 2025-11-13 16:31:22
nvme3n1      1483         0      273743         406    733871         0   126403611       91185       0      56 2025-11-13 16:31:22
nvme9n1    132699         0    16476902       81402  24335114         0   638139086    11912539       0   10498 2025-11-13 16:31:22
nvme8n1    129702         0    16069306      116609  24176367         0   638139086    14350636       0   12138 2025-11-13 16:31:22
nvme7n1    122258         0    15857809       85210  31697429         0   791631479    17780106       0   15484 2025-11-13 16:31:22
nvme6n1    118621         0    15716083       78536  30921883         0   791631479    31748461       0   21407 2025-11-13 16:31:22
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 16:31:27
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 16:31:27
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 16:31:27
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 16:31:27
nvme0n1       649         0       67548         803    323095         0    44795987      238621       0     158 2025-11-13 16:31:27
nvme1n1       718         0       76509         364    334753         0    44795987      106135       0      80 2025-11-13 16:31:27
nvme2n1      1456         0      266349         278    745318         0   126404295       72647       0      53 2025-11-13 16:31:27
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 16:31:27
nvme4n1    787225    195320   116514799      205021  13760290   5855678   343442836    12895425       0    4229 2025-11-13 16:31:27
nvme3n1      1483         0      273743         406    733943         0   126404295       91227       0      56 2025-11-13 16:31:27
nvme9n1    132699         0    16476902       81402  24335181         0   638139641    11912552       0   10498 2025-11-13 16:31:27
nvme8n1    129702         0    16069306      116609  24176431         0   638139641    14350649       0   12138 2025-11-13 16:31:27
nvme7n1    122258         0    15857809       85210  31697531         0   791632490    17780120       0   15484 2025-11-13 16:31:27
nvme6n1    118621         0    15716083       78536  30921984         0   791632490    31748475       0   21407 2025-11-13 16:31:27
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 16:31:32
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 16:31:32
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 16:31:32
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 16:31:32
nvme0n1       649         0       67548         803    323150         0    44796300      238732       0     158 2025-11-13 16:31:32
nvme1n1       718         0       76509         364    334809         0    44796300      106153       0      80 2025-11-13 16:31:32
nvme2n1      1456         0      266349         278    745402         0   126404958       72663       0      53 2025-11-13 16:31:32
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 16:31:32
nvme4n1    787225    195320   116514799      205021  13760292   5855679   343442860    12895435       0    4229 2025-11-13 16:31:32
nvme3n1      1483         0      273743         406    734022         0   126404958       91269       0      56 2025-11-13 16:31:32
nvme9n1    132699         0    16476902       81402  24335270         0   638141201    11912566       0   10498 2025-11-13 16:31:32
nvme8n1    129702         0    16069306      116609  24176522         0   638141201    14350665       0   12138 2025-11-13 16:31:32
nvme7n1    122258         0    15857809       85210  31697664         0   791636368    17780138       0   15484 2025-11-13 16:31:32
nvme6n1    118621         0    15716083       78536  30922120         0   791636368    31748491       0   21407 2025-11-13 16:31:32
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 16:31:37
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 16:31:37
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 16:31:37
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 16:31:37
nvme0n1       649         0       67548         803    323198         0    44796606      238846       0     158 2025-11-13 16:31:37
nvme1n1       718         0       76509         364    334858         0    44796606      106172       0      80 2025-11-13 16:31:37
nvme2n1      1456         0      266349         278    745473         0   126405610       72678       0      53 2025-11-13 16:31:37
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 16:31:37
nvme4n1    787225    195320   116514799      205021  13760294   5855682   343442900    12895446       0    4229 2025-11-13 16:31:37
nvme3n1      1483         0      273743         406    734092         0   126405610       91305       0      56 2025-11-13 16:31:37
nvme9n1    132699         0    16476902       81402  24335270         0   638141201    11912566       0   10498 2025-11-13 16:31:37
nvme8n1    129702         0    16069306      116609  24176522         0   638141201    14350665       0   12138 2025-11-13 16:31:37
nvme7n1    122258         0    15857809       85210  31697664         0   791636368    17780138       0   15484 2025-11-13 16:31:37
nvme6n1    118621         0    15716083       78536  30922120         0   791636368    31748491       0   21407 2025-11-13 16:31:37
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 16:31:42
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 16:31:42
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 16:31:42
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 16:31:42
nvme0n1       649         0       67548         803    323253         0    44796966      238959       0     159 2025-11-13 16:31:42
nvme1n1       718         0       76509         364    334913         0    44796966      106191       0      80 2025-11-13 16:31:42
nvme2n1      1456         0      266349         278    745553         0   126406368       72693       0      53 2025-11-13 16:31:42
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 16:31:42
nvme4n1    787225    195320   116514799      205021  13760326   5855687   343443276    12895571       0    4229 2025-11-13 16:31:42
nvme3n1      1483         0      273743         406    734175         0   126406368       91342       0      56 2025-11-13 16:31:42
nvme9n1    132699         0    16476902       81402  24335336         0   638141768    11912580       0   10498 2025-11-13 16:31:42
nvme8n1    129702         0    16069306      116609  24176595         0   638141768    14350678       0   12138 2025-11-13 16:31:42
nvme7n1    122258         0    15857809       85210  31697773         0   791637429    17780153       0   15484 2025-11-13 16:31:42
nvme6n1    118621         0    15716083       78536  30922228         0   791637429    31748505       0   21407 2025-11-13 16:31:42
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 16:31:47
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 16:31:47
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 16:31:47
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 16:31:47
nvme0n1       649         0       67548         803    323300         0    44797273      239072       0     159 2025-11-13 16:31:47
nvme1n1       718         0       76509         364    334959         0    44797273      106211       0      80 2025-11-13 16:31:47
nvme2n1      1456         0      266349         278    745624         0   126407023       72708       0      53 2025-11-13 16:31:47
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 16:31:47
nvme4n1    787225    195320   116514799      205021  13760328   5855688   343443300    12895581       0    4229 2025-11-13 16:31:47
nvme3n1      1483         0      273743         406    734244         0   126407023       91378       0      56 2025-11-13 16:31:47
nvme9n1    132699         0    16476902       81402  24335336         0   638141768    11912580       0   10498 2025-11-13 16:31:47
nvme8n1    129702         0    16069306      116609  24176595         0   638141768    14350678       0   12138 2025-11-13 16:31:47
nvme7n1    122258         0    15857809       85210  31697773         0   791637429    17780153       0   15484 2025-11-13 16:31:47
nvme6n1    118621         0    15716083       78536  30922228         0   791637429    31748505       0   21407 2025-11-13 16:31:47
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 16:31:52
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 16:31:52
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 16:31:52
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 16:31:52
nvme0n1       649         0       67548         803    323351         0    44797721      239185       0     159 2025-11-13 16:31:52
nvme1n1       718         0       76509         364    335011         0    44797721      106230       0      80 2025-11-13 16:31:52
nvme2n1      1456         0      266349         278    745699         0   126407958       72724       0      53 2025-11-13 16:31:52
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 16:31:52
nvme4n1    787225    195320   116514799      205021  13760330   5855689   343443324    12895591       0    4229 2025-11-13 16:31:52
nvme3n1      1483         0      273743         406    734321         0   126407958       91414       0      56 2025-11-13 16:31:52
nvme9n1    132699         0    16476902       81402  24335411         0   638142434    11912594       0   10498 2025-11-13 16:31:52
nvme8n1    129702         0    16069306      116609  24176673         0   638142434    14350691       0   12138 2025-11-13 16:31:52
nvme7n1    122258         0    15857809       85210  31697895         0   791638614    17780167       0   15484 2025-11-13 16:31:52
nvme6n1    118621         0    15716083       78536  30922347         0   791638614    31748519       0   21407 2025-11-13 16:31:52
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 16:31:57
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 16:31:57
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 16:31:57
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 16:31:57
nvme0n1       649         0       67548         803    323411         0    44798117      239299       0     159 2025-11-13 16:31:57
nvme1n1       718         0       76509         364    335068         0    44798117      106249       0      80 2025-11-13 16:31:57
nvme2n1      1456         0      266349         278    745794         0   126408792       72740       0      53 2025-11-13 16:31:57
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 16:31:57
nvme4n1    787225    195320   116514799      205021  13760370   5855705   343443780    12895715       0    4229 2025-11-13 16:31:57
nvme3n1      1483         0      273743         406    734416         0   126408792       91450       0      56 2025-11-13 16:31:57
nvme9n1    132699         0    16476902       81402  24335483         0   638143020    11912608       0   10498 2025-11-13 16:31:57
nvme8n1    129702         0    16069306      116609  24176745         0   638143020    14350704       0   12138 2025-11-13 16:31:57
nvme7n1    122258         0    15857809       85210  31698010         0   791639687    17780182       0   15484 2025-11-13 16:31:57
nvme6n1    118621         0    15716083       78536  30922465         0   791639687    31748533       0   21407 2025-11-13 16:31:57
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 16:32:02
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 16:32:02
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 16:32:02
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 16:32:02
nvme0n1       649         0       67548         803    323463         0    44798470      239412       0     159 2025-11-13 16:32:02
nvme1n1       718         0       76509         364    335121         0    44798470      106269       0      80 2025-11-13 16:32:02
nvme2n1      1456         0      266349         278    745870         0   126409538       72756       0      53 2025-11-13 16:32:02
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 16:32:02
nvme4n1    787225    195320   116514799      205021  13760372   5855706   343443804    12895725       0    4229 2025-11-13 16:32:02
nvme3n1      1483         0      273743         406    734494         0   126409538       91487       0      56 2025-11-13 16:32:02
nvme9n1    132699         0    16476902       81402  24335561         0   638143862    11912622       0   10498 2025-11-13 16:32:02
nvme8n1    129702         0    16069306      116609  24176822         0   638143862    14350717       0   12138 2025-11-13 16:32:02
nvme7n1    122258         0    15857809       85210  31698125         0   791641071    17780200       0   15484 2025-11-13 16:32:02
nvme6n1    118621         0    15716083       78536  30922583         0   791641071    31748547       0   21407 2025-11-13 16:32:02
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 16:32:07
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 16:32:07
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 16:32:07
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 16:32:07
nvme0n1       649         0       67548         803    323525         0    44798998      239551       0     159 2025-11-13 16:32:07
nvme1n1       718         0       76509         364    335184         0    44798998      106314       0      80 2025-11-13 16:32:07
nvme2n1      1456         0      266349         278    745953         0   126410579       72783       0      53 2025-11-13 16:32:07
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 16:32:07
nvme4n1    787225    195320   116514799      205021  13760374   5855707   343443828    12895735       0    4229 2025-11-13 16:32:07
nvme3n1      1483         0      273743         406    734582         0   126410579       91528       0      56 2025-11-13 16:32:07
nvme9n1    132699         0    16476902       81402  24335561         0   638143862    11912622       0   10498 2025-11-13 16:32:07
nvme8n1    129702         0    16069306      116609  24176822         0   638143862    14350717       0   12138 2025-11-13 16:32:07
nvme7n1    122258         0    15857809       85210  31698125         0   791641071    17780200       0   15484 2025-11-13 16:32:07
nvme6n1    118621         0    15716083       78536  30922583         0   791641071    31748547       0   21407 2025-11-13 16:32:07
sda       20904         0      224008       95583    507450      1386   537511944     2919720       0    1570 2025-11-13 16:32:12
sdb       21323         0      225520       85388    510185      1341   537659320     2918607       0    1560 2025-11-13 16:32:12
sdc       20986         0      223456      116420    509442      1607   537659320     2869234       0    1551 2025-11-13 16:32:12
sdd       20368         0      218872      120868    505915      1671   537511944     2871899       0    1557 2025-11-13 16:32:12
nvme0n1       649         0       67548         803    323571         0    44799392      239664       0     159 2025-11-13 16:32:12
nvme1n1       718         0       76509         364    335230         0    44799392      106334       0      80 2025-11-13 16:32:12
nvme2n1      1456         0      266349         278    746022         0   126411411       72798       0      53 2025-11-13 16:32:12
nvme5n1        82         0        2936          11         0         0           0           0       0       0 2025-11-13 16:32:12
nvme4n1    787241    195320   116518895      205022  13760778   5855896   343452756    12895968       0    4229 2025-11-13 16:32:12
nvme3n1      1483         0      273743         406    734651         0   126411411       91562       0      56 2025-11-13 16:32:12
